SYMBOL_NAME,Time,ASK_PRICE,ASK_SIZE,BID_PRICE,BID_SIZE
MILLBURN::::CL.NY.J.2025,2025-03-02T17:06:00.000000000-0500,69.99,3,69.92,5
MILLBURN::::CL.NY.J.2025,2025-03-02T17:36:00.000000000-0500,69.99,2,69.92,5
MILLBURN::::CL.NY.J.2025,2025-03-02T17:38:00.000000000-0500,70.0,9,69.92,5
MILLBURN::::CL.NY.J.2025,2025-03-02T17:41:00.000000000-0500,70.0,8,69.92,5
MILLBURN::::CL.NY.J.2025,2025-03-02T17:43:00.000000000-0500,70.03,3,69.92,4
MILLBURN::::CL.NY.J.2025,2025-03-02T17:44:00.000000000-0500,70.04,3,69.92,4
MILLBURN::::CL.NY.J.2025,2025-03-02T17:45:00.000000000-0500,70.05,3,69.9,3
MILLBURN::::CL.NY.J.2025,2025-03-02T17:46:00.000000000-0500,70.06,3,69.9,1
MILLBURN::::CL.NY.J.2025,2025-03-02T17:47:00.000000000-0500,70.07,4,69.88,4
MILLBURN::::CL.NY.J.2025,2025-03-02T17:48:00.000000000-0500,70.07,2,69.87,4
MILLBURN::::CL.NY.J.2025,2025-03-02T17:49:00.000000000-0500,70.07,2,69.87,2
MILLBURN::::CL.NY.J.2025,2025-03-02T17:50:00.000000000-0500,70.07,1,69.87,2
MILLBURN::::CL.NY.J.2025,2025-03-02T17:51:00.000000000-0500,70.07,1,69.87,1
MILLBURN::::CL.NY.J.2025,2025-03-02T17:52:00.000000000-0500,70.07,1,70.07,3
MILLBURN::::CL.NY.J.2025,2025-03-02T17:57:00.000000000-0500,70.0,20,70.0,5
MILLBURN::::CL.NY.J.2025,2025-03-02T17:58:00.000000000-0500,70.0,21,70.0,3
MILLBURN::::CL.NY.J.2025,2025-03-02T17:59:00.000000000-0500,69.95,4,69.95,6
MILLBURN::::CL.NY.J.2025,2025-03-02T18:00:00.000000000-0500,70.07,1,70.06,4
MILLBURN::::CL.NY.J.2025,2025-03-02T18:01:00.000000000-0500,70.09,1,70.07,9
MILLBURN::::CL.NY.J.2025,2025-03-02T18:02:00.000000000-0500,70.06,5,70.03,5
MILLBURN::::CL.NY.J.2025,2025-03-02T18:03:00.000000000-0500,70.1,1,70.09,1
MILLBURN::::CL.NY.J.2025,2025-03-02T18:04:00.000000000-0500,70.03,11,70.0,12
